psampleid	pprojid	profileid	filename	sampleid	latitude	longitude	organizedbydeepth	histobrutavailable	qualitytaxo	qualitypart	daterecalculhistotaxo	winddir	winspeed	seastate	nebuloussness	comment	stationid	firstimage	lastimg	lastimgused	bottomdepth	yoyo	sampledate	op_sample_name	op_sample_email	ctd_desc	ctd_origfilename	ctd_import_name	ctd_import_email	ctd_import_datetime	ctd_status	instrumsn	acq_aa	acq_exp	acq_volimage	acq_depthoffset	acq_pixel	acq_shutterspeed	acq_smzoo	acq_exposure	acq_gain	acq_filedescription	acq_eraseborder	acq_tasktype	acq_threshold	acq_choice	acq_disktype	acq_smbase	acq_ratio	acq_descent_filter	acq_presure_gain	acq_xsize	acq_ysize	acq_barcode	proc_datetime	proc_gamma	proc_soft	lisst_zscat_filename	lisst_kernel	txt_data01	txt_data02	txt_data03	txt_data04	txt_data05	txt_data06	txt_data07	txt_data08	txt_data09	txt_data10	ptitle	rawfolder	ownerid	projid	instrumtype	op_name	op_email	cs_name	cs_email	do_name	do_email	prj_info	prj_acronym	cruise	ship	default_instrumsn	default_depthoffset	Particle filename	CTD filename	Plankton filename
33973	471	"bats361_ctd20"	"20190718011932"	116473	31.6584	-64.16687	True	True			2022-03-01 16:27:06.217935	0	0	0	99	"no"	"gf"	8533	99999999999	38809	600	False	2019-07-18 01:19:32				"10361019"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718011932_bats361_ctd20_PAR_raw_20220810_16_31.tsv	no data available	20190718011932_bats361_ctd20_ZOO_raw_20220810_16_31.tsv
33974	471	"bats361_ctd21"	"20190718060334"	116375	31.53613	-63.6012	True	True			2022-03-01 16:27:16.441162	0	0	0	99	"no"	"gf"	8445	99999999999	37872	600	False	2019-07-18 06:03:34				"10361020"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718060334_bats361_ctd21_PAR_raw_20220810_16_31.tsv	no data available	20190718060334_bats361_ctd21_ZOO_raw_20220810_16_31.tsv
33975	471	"bats361_ctd22"	"20190718091657"	116470	31.7096	-63.22407	True	True			2022-03-01 16:27:26.520002	0	0	0	99	"no"	"gf"	7879	99999999999	38826	600	False	2019-07-18 09:16:57				"10361021"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718091657_bats361_ctd22_PAR_raw_20220810_16_31.tsv	no data available	20190718091657_bats361_ctd22_ZOO_raw_20220810_16_31.tsv
33976	471	"bats361_ctd23"	"20190718123550"	116422	32.02107	-63.43613	True	True			2022-03-01 16:27:37.584222	0	0	0	99	"no"	"gf"	8536	99999999999	38496	600	False	2019-07-18 12:35:50				"10361022"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718123550_bats361_ctd23_PAR_raw_20220810_16_31.tsv	no data available	20190718123550_bats361_ctd23_ZOO_raw_20220810_16_31.tsv
33977	471	"bats361_ctd24"	"20190718160008"	116416	32.32527	-63.65	True	True			2022-03-01 16:27:50.288367	0	0	0	99	"no"	"gf"	11486	99999999999	43914	600	False	2019-07-18 16:00:08				"10361023"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718160008_bats361_ctd24_PAR_raw_20220810_16_31.tsv	no data available	20190718160008_bats361_ctd24_ZOO_raw_20220810_16_31.tsv
33978	471	"bats361_ctd25"	"20190718201026"	116395	32.0542	-64.1548	True	True			2022-03-01 16:28:04.462483	0	0	0	99	"no"	"gf"	4767	99999999999	35221	600	False	2019-07-18 20:10:26				"10361021"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190718201026_bats361_ctd25_PAR_raw_20220810_16_31.tsv	no data available	20190718201026_bats361_ctd25_ZOO_raw_20220810_16_31.tsv
33979	471	"bats361_ctd26"	"20190719003937"	116463	31.659	-64.16747	True	True			2022-03-01 16:28:13.966095	0	0	0	99	"no"	"gf"	11821	99999999999	26813	600	False	2019-07-19 00:39:37				"10361025"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190719003937_bats361_ctd26_PAR_raw_20220810_16_31.tsv	no data available	20190719003937_bats361_ctd26_ZOO_raw_20220810_16_31.tsv
33980	471	"bats361_ctd27"	"20190719073907"	116455	32.1554	-64.01687	True	True			2022-03-01 16:28:27.544906	0	0	0	99	"no"	"gf"	6413	99999999999	35897	600	False	2019-07-19 07:39:07				"10361021"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190719073907_bats361_ctd27_PAR_raw_20220810_16_31.tsv	no data available	20190719073907_bats361_ctd27_ZOO_raw_20220810_16_31.tsv
33981	471	"bats361_ctd3"	"20190714151725"	116452	32.256	-64.55	True	True			2022-03-01 16:28:36.454265	0	0	0	0	"no"	"gf"	10	99999999999	23475	600	False	2019-07-14 15:17:25				"10361004"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714151725_bats361_ctd3_PAR_raw_20220810_16_31.tsv	no data available	20190714151725_bats361_ctd3_ZOO_raw_20220810_16_31.tsv
33982	471	"bats361_ctd4"	"20190714165610"	116425	32.16687	-64.49213	True	True			2022-03-01 16:29:03.237575	0	0	99	99	"no"	"hs"	9	99999999999	88786	600	False	2019-07-14 16:56:10				"61363001"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714165610_bats361_ctd4_PAR_raw_20220810_16_31.tsv	no data available	20190714165610_bats361_ctd4_ZOO_raw_20220810_16_31.tsv
33983	471	"bats361_ctd5"	"20190714203848"	116450	32.159	-64.5006	True	True			2022-03-01 16:29:09.323854	0	0	0	99	"no"	"hs"	6953	99999999999	24311	600	False	2019-07-14 20:38:48				"61363002"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714203848_bats361_ctd5_PAR_raw_20220810_16_31.tsv	no data available	20190714203848_bats361_ctd5_ZOO_raw_20220810_16_31.tsv
33984	471	"bats361_ctd6"	"20190714230420"	116448	31.97347	-64.37527	True	True			2022-03-01 16:29:20.085095	0	0	0	99	"no"	"xx"	7322	99999999999	38830	600	False	2019-07-14 23:04:20				"10361005"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714230420_bats361_ctd6_PAR_raw_20220810_16_31.tsv	no data available	20190714230420_bats361_ctd6_ZOO_raw_20220810_16_31.tsv
33985	471	"bats361_ctd7"	"20190715043257"	116421	31.75	-63.98613	True	True			2022-03-01 16:29:30.623917	0	0	0	99	"no"	"gf"	7319	99999999999	37779	600	False	2019-07-15 04:32:57				"10361006"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190715043257_bats361_ctd7_PAR_raw_20220810_16_31.tsv	no data available	20190715043257_bats361_ctd7_ZOO_raw_20220810_16_31.tsv
33986	471	"bats361_ctd8"	"20190715070656"	116461	31.84093	-63.8036	True	True			2022-03-01 16:29:40.163933	0	0	0	99	"no"	"gf"	20	99999999999	29480	600	False	2019-07-15 07:06:56				"10361007"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190715070656_bats361_ctd8_PAR_raw_20220810_16_31.tsv	no data available	20190715070656_bats361_ctd8_ZOO_raw_20220810_16_31.tsv
33987	471	"bats361_ctd9"	"20190715092342"	116367	31.7542	-63.98553	True	True			2022-03-01 16:29:48.510021	0	0	0	99	"no"	"gf"	18	99999999999	25184	600	False	2019-07-15 09:23:42				"10361008"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190715092342_bats361_ctd9_PAR_raw_20220810_16_31.tsv	no data available	20190715092342_bats361_ctd9_ZOO_raw_20220810_16_31.tsv
